period,rgdp,ngdp,y,x,lf,c,W,sW,cW,ceW1,ceW2,rer0,tot0,nx0,ex0,im0,exrate0,texrate0,mktpen0,tau0,ntb0,rer2,tot2,nx2,ex2,im2,exrate2,texrate2,mktpen2,tau2,ntb2
0,582.3058139653464877,582.3058156848065892,1164.9039134657857630,87.3312581747905341,6.8298247167094637,494.9745560484318503,185.2212767563741522,0.0000000000000000,24748.7277131807677506,0.0000000000000000,0.0000000000000000,0.9999999970471529,0.9999999985738288,-1.0975553201237105,13.7358983184133390,14.8334536385370495,0.0574419850770593,0.0571999991484690,0.1437086007778209,0.0000000000000000,0.0000000000000000,0.9999999951714764,1.0000000165545060,1.0975531503138711,112.1945375641993223,111.0969844138854512,0.3677395352555122,0.3699999881086068,0.2194556418064584,0.0000000000000000,0.0000000000000000
1,582.3058137816904036,582.3058146078105892,1164.9039150934158897,87.3312586620738927,6.8298247982105806,494.9745552435138052,185.2212813860390384,0.0000000000000000,24748.7277250108090811,0.0000000000000000,0.0000000000000000,0.9999999985812951,0.9999999999785683,-1.0975552747585127,13.7358980223112379,14.8334532970697506,0.0574419850770594,0.0571999997185451,0.1437086024407155,0.0000000000000000,0.0000000000000000,0.9999999974991598,1.0000000193853598,1.0975529991223141,112.1945374489654625,111.0969844498431485,0.3677395352555130,0.3699999905818045,0.2194556434161108,0.0000000000000000,0.0000000000000000
2,582.3058135750391102,582.3058149608458507,1164.9039141995706359,87.3312580623232861,6.8298247432184960,494.9745557205519617,185.2212861143218845,0.0000000000000000,24748.7277186975552468,0.0000000000000000,0.0000000000000000,0.9999999976201390,0.9999999988178621,-1.0975552642296087,13.7358979648521213,14.8334532290817300,0.0574419850770593,0.0571999993828931,0.1437086017916440,0.0000000000000000,0.0000000000000000,0.9999999958223745,1.0000000162925278,1.0975535571673589,112.1945376498465379,111.0969840926791790,0.3677395352555128,0.3699999888318961,0.2194556423910844,0.0000000000000000,0.0000000000000000
3,582.3058133663511171,582.3058146981411483,1164.9039151510673946,87.3312582966162836,6.8298247811749686,494.9745552694699882,185.2212909336008124,0.0000000000000000,24748.7277416834804171,0.0000000000000000,0.0000000000000000,0.9999999977129028,1.0000000026710336,-1.0975554907763669,13.7358979483218029,14.8334534390981698,0.0574419850770593,0.0571999994935086,0.1437086018692864,0.0000000000000000,0.0000000000000000,0.9999999969096073,1.0000000166617282,1.0975538960180273,112.1945373719433263,111.0969834759252990,0.3677395352555122,0.3699999901257632,0.2194556432040956,0.0000000000000000,0.0000000000000000
4,582.1876038548165297,582.0352566946713750,1164.9849332926264651,87.2707840159952610,6.7103578187390074,494.8939767963155418,185.2212958526419300,0.0000000000000000,24748.7277441189726233,0.0000000000000000,0.0000000000000000,1.0002617490236057,1.0016343085514823,-1.1763438186228825,13.6152312165808116,14.7915750352036941,0.0546522391288183,0.0573104621156268,0.1472717138680495,0.0000000000000000,0.0000000000000000,0.9999280243972993,0.9994354649716501,1.3132325018223270,111.7843575798585789,110.4711250780362519,0.3677395352555120,0.3701963553439654,0.2162620426848975,0.0000000000000000,0.0000000000000000
5,582.3019662482506646,582.2788124122365616,1164.8914376433340294,87.3225758817716269,6.8319889570495382,494.9759180563773953,185.2219041790505116,0.0000000000000000,24748.7277345633301593,0.0000000000000000,0.0000000000000000,1.0000397641740013,1.0000747917836392,-1.0985976377271598,13.7293917687042768,14.8279894064314366,0.0574419850770593,0.0572147112122838,0.1434376381603110,0.0000000000000000,0.0000000000000000,0.9999731397567700,0.9999984942384004,1.0846439587338494,112.1480061179764647,111.0633621592426152,0.3677395352555126,0.3699839260319838,0.2191836568823841,0.0000000000000000,0.0000000000000000
6,582.3126707135647848,582.3066866830340587,1164.9053386325063002,87.3337361348620362,6.8298362847562339,494.9780371001827461,185.2219111638340792,0.0000000000000000,24748.7277555905784538,0.0000000000000000,0.0000000000000000,1.0000102764242063,0.9999862688192083,-1.0958976180074469,13.7362760810491764,14.8321736990566233,0.0574419850770594,0.0572040381094479,0.1436956078047579,0.0000000000000000,0.0000000000000000,0.9999887882430840,1.0000172828377412,1.0844053732490977,112.1843726091087916,111.0999672358596939,0.3677395352555123,0.3699911166338644,0.2194266404051926,0.0000000000000000,0.0000000000000000
7,582.3130599653188710,582.3085343619146670,1164.9067432189358442,87.3342344075726089,6.8296924637843590,494.9781468108531044,185.2219024292742802,0.0000000000000000,24748.7277193538502615,0.0000000000000000,0.0000000000000000,1.0000077718308027,0.9999809264777072,-1.0957843794408717,13.7367520927547737,14.8325364721956454,0.0574419850770593,0.0572031648592535,0.1437158025201350,0.0000000000000000,0.0000000000000000,0.9999906603914440,1.0000169189578048,1.0854850881228799,112.1875811581286229,111.1020960700057429,0.3677395352555123,0.3699922016045666,0.2194475652878753,0.0000000000000000,0.0000000000000000
8,582.3127771282136109,582.3086417926193690,1164.9072221174890274,87.3340394667727793,6.8296951125550596,494.9781174481447579,185.2218926989543490,0.0000000000000000,24748.7277682831918355,0.0000000000000000,0.0000000000000000,1.0000071016215415,0.9999815756043668,-1.0958651515952678,13.7367599888826497,14.8326251404779175,0.0574419850770593,0.0572029626009849,0.1437170467362933,0.0000000000000000,0.0000000000000000,0.9999915613241535,1.0000155037579261,1.0865311116861989,112.1883927965803167,111.1018616848941178,0.3677395352555127,0.3699928770256271,0.2194498119326833,0.0000000000000000,0.0000000000000000
9,582.3124692668958460,582.3086209008066589,1164.9075799733484473,87.3338167802730680,6.8297075710718378,494.9780753141632204,185.2218829937800422,0.0000000000000000,24748.7277663100139762,0.0000000000000000,0.0000000000000000,1.0000066088083719,0.9999825716704855,-1.0959522632972387,13.7367350135732682,14.8326872768705069,0.0574419850770593,0.0572028216214238,0.1437167855706053,0.0000000000000000,0.0000000000000000,0.9999923193315948,1.0000141578112487,1.0874771026451100,112.1889696571910946,111.1014925545459846,0.3677395352555120,0.3699934676072186,0.2194504286475895,0.0000000000000000,0.0000000000000000
